user_id,name,phone,preferred_language,city,postal_code,signup_date,last_active,device_type,opt_in_notifications,timezone
5fb9220d-9b0f-4d32-a248-6492457c3890,Miss Arlene Wintheiser,+880(741) 509-2635,bn,Chattogram,97985,2024-10-29T19:19:56.050Z,2025-10-01T19:19:56.050Z,mobile,true,Asia/Dhaka
564d5482-c1fc-430d-9bbc-151d95145bae,Miss Miriam Macejkovic,+880501-263-5924 x7202,en,Barishal,86881,2024-11-10T19:19:56.050Z,2025-04-23T19:19:56.050Z,mobile,true,Asia/Dhaka
5136dd08-6315-4f58-8b5f-f474409804e3,Wendy Osinski,+880736.750.8310,bn,Sylhet,05261,2025-01-29T19:19:56.051Z,2025-07-18T19:19:56.051Z,web,true,Asia/Dhaka
51ee4ad8-831e-4ea5-a5be-eca12e901a02,Marcus Rath,+880(768) 750-3229 x386,bn,Rajshahi,54172,2025-10-24T19:19:56.051Z,2025-10-27T19:19:56.051Z,mobile,false,Asia/Dhaka
fe50e6ff-d46d-4528-beb9-19f28ebbb54c,Mr. Terrence Kuvalis,+880883.505.0452 x5008,bn,Dhaka,57260,2025-10-13T19:19:56.051Z,2025-10-22T19:19:56.051Z,mobile,true,Asia/Dhaka
bf85c471-0fdb-4622-848b-a4fb89635c01,Sarah Krajcik,+880514.566.0365 x861,en,Rajshahi,05953,2025-02-18T19:19:56.051Z,2025-07-07T19:19:56.051Z,mobile,false,Asia/Dhaka
6fe31101-a15d-40d4-b1ba-ebc42ccf65c5,Hubert Romaguera,+8801-683-930-9039 x95642,bn,Sylhet,77704,2025-10-10T19:19:56.051Z,2025-10-20T19:19:56.051Z,mobile,true,Asia/Dhaka
512c911b-1db1-41f5-85df-fc61c86e1707,Brittany Rodriguez,+880428.390.9085 x90595,bn,Sylhet,46590,2025-07-13T19:19:56.051Z,2025-07-18T19:19:56.051Z,web,true,Asia/Dhaka
9437591f-fb84-4da2-9edf-b96ed006cf29,Russell Koss,+880288-995-7982 x419,bn,Chattogram,66316,2025-04-08T19:19:56.051Z,2025-05-25T19:19:56.051Z,mobile,true,Asia/Dhaka
88e620c9-b320-4596-96e5-8c69df2e747f,Mamie Blanda,+8801-316-338-4611,en,Chattogram,21014,2025-08-12T19:19:56.051Z,2025-10-03T19:19:56.051Z,mobile,true,Asia/Dhaka
0ca1de04-cb23-4579-857b-04be88178346,Deborah Carter V,+8801-840-657-4123 x6539,bn,Chattogram,11211,2025-07-11T19:19:56.051Z,2025-10-14T19:19:56.051Z,web,true,Asia/Dhaka
86f16fdd-42ae-4894-8c25-683194927805,Willie Schroeder,+8801-854-539-8917 x9107,bn,Barishal,17211,2024-12-11T19:19:56.051Z,2025-03-30T19:19:56.051Z,mobile,true,Asia/Dhaka
e6d7674b-83e6-48e9-a1fa-52c98ec243b0,Shawn Schuster,+880(337) 327-7665 x23195,bn,Khulna,91556,2025-10-26T19:19:56.051Z,2025-10-27T19:19:56.051Z,web,true,Asia/Dhaka
beb2996b-ee71-4fd1-aed8-9605c0568e55,Diana Connelly,+880593.660.6191 x409,bn,Rajshahi,07282,2025-08-18T19:19:56.051Z,2025-10-31T19:19:56.051Z,mobile,true,Asia/Dhaka
1c787682-2df5-44a6-802b-a033a01c2a31,Samuel Hyatt,+880480.220.1548,bn,Khulna,23526,2025-05-22T19:19:56.051Z,2025-08-03T19:19:56.051Z,mobile,true,Asia/Dhaka
fc2d7ec6-048a-442d-bf82-40e1948ad302,Leo Ondricka,+8801-535-217-0623 x23725,bn,Rajshahi,97202,2025-03-09T19:19:56.051Z,2025-10-21T19:19:56.051Z,mobile,true,Asia/Dhaka
5c11b7b6-3dcb-4495-81e2-f728dbcabd37,Trevor Purdy Sr.,+880(906) 499-9488 x3805,bn,Dhaka,06370,2025-06-29T19:19:56.051Z,2025-08-26T19:19:56.051Z,mobile,true,Asia/Dhaka
ae930d0d-8fcf-45c6-87ad-fc66b3154430,Howard Parisian,+880804.994.6192 x96652,en,Chattogram,17309,2024-11-13T19:19:56.051Z,2024-12-08T19:19:56.051Z,web,true,Asia/Dhaka
6cb2d338-991e-442e-bfdc-a81654b713a1,June Shanahan,+8801-628-868-8786 x6671,bn,Barishal,08137,2025-08-30T19:19:56.051Z,2025-09-10T19:19:56.051Z,mobile,true,Asia/Dhaka
